"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","942","create new account","chromium","2026-06-14","passed","2026-06-14","","API\PUT-createAcc.spec.ts","",""
"","442","Create New Account","chromium","2026-06-14","passed","2026-06-14","","API\PUT-createAcc.spec.ts","",""
"","2566","API E2E - Login Create Account Transfer Funds Verify Balance","chromium","2026-06-14","passed","2026-06-14","","E2E\fullE2E-API.spec.ts","",""
"","803","login with invalid credentials","chromium","2026-06-14","passed","2026-06-14","","Negative\invalidLogin-api.spec.ts","",""
"","10204","login page response time under 2 seconds","chromium","2026-06-14","passed","2026-06-14","","Performance Test\login-response.spec.ts","",""
"","8837","Full UI E2E Journey","chromium","2026-06-14","passed","2026-06-14","","E2E\fullE2E-UI.spec.ts","",""
"","7395","Transfer Funds and Validate Balance","chromium","2026-06-14","passed","2026-06-14","","E2E\transferFunds.spec.ts","",""
"","7396","TC-E2E-01 Create Account via UI and Validate via API","chromium","2026-06-14","passed","2026-06-14","","E2E\UI-API-validation.spec.ts","",""
"","898","get all accounts","chromium","2026-06-14","passed","2026-06-14","","API\GET-allAccounts.spec.ts","",""
"","4984","log in with invalid username","chromium","2026-06-14","passed","2026-06-14","","Negative\invalidLogin.spec.ts","",""
"","644","transfer more funds via API","chromium","2026-06-14","failed","2026-06-14","","Negative\greaterAmountTransfer-api.spec.ts","",""
"","7124","Registration with Existing Username","chromium","2026-06-14","passed","2026-06-14","","Negative\invalidRegistration.spec.ts","",""
"","9018","account overview","chromium","2026-06-14","passed","2026-06-14","","UI\accOverview.spec.ts","",""
"","5680","Open Savings Account and Verify Account Type via API","chromium","2026-06-14","passed","2026-06-14","","E2E\openSavingsAccount-verifyAPI.spec.ts","",""
"","8647","registration","chromium","2026-06-14","passed","2026-06-14","","UI\registration.spec.ts","",""
"","8768","open checing acount","chromium","2026-06-14","passed","2026-06-14","","UI\checking.spec.ts","",""
"","6610","loan","chromium","2026-06-14","passed","2026-06-14","","UI\request-loan.spec.ts","",""
"","11102","open saving account","chromium","2026-06-14","passed","2026-06-14","","UI\saving.spec.ts","",""
"","6562","API E2E","chromium","2026-06-14","passed","2026-06-14","","E2E\fullE2E-API.spec.ts","",""
"","20920","Full UI E2E","chromium","2026-06-14","passed","2026-06-14","","E2E\fullE2E-UI.spec.ts","",""
"","1583","get Account By id","chromium","2026-06-14","passed","2026-06-14","","API\GET-accountById.spec.ts","",""
"","12098","TC-E2E-02","chromium","2026-06-14","passed","2026-06-14","","E2E\API-UI-validation.spec.ts","",""
"","5048","login","chromium","2026-06-14","passed","2026-06-14","","UI\login.spec.ts","",""
"","914","transfer funds","chromium","2026-06-14","passed","2026-06-14","","API\POST-transferFunds.spec.ts","",""
"","5862","blank amount transfer","chromium","2026-06-14","passed","2026-06-14","","Negative\blankTransfer.spec.ts","",""
"","759","login","chromium","2026-06-14","passed","2026-06-14","","API\GET-login.spec.ts","",""
"","1445","accounts api response time under 2 seconds","chromium","2026-06-14","passed","2026-06-14","","Performance Test\get-account.spec.ts","",""
"","13162","Transfer Negative Amount","chromium","2026-06-14","failed","2026-06-14","","Negative\negAmountTransfer.spec.ts","",""
"","1740","getting details of invalid id","chromium","2026-06-14","passed","2026-06-14","","Negative\invalidAcc-api.spec.ts","",""
"","17993","accounts api repeated 20 times","chromium","2026-06-14","passed","2026-06-14","","Performance-Test\repeated-GETrequest.spec.ts","",""
"","19207","Should complete full ParaBank workflow","chromium","2026-06-14","passed","2026-06-14","ParaBank Complete Workflow via MCP","MCP\created-via-mcp.spec.ts","",""
"","10186","open saving account and verify via api","chromium","2026-06-14","passed","2026-06-14","","E2E\openSavingsAccount-verifyAPI.spec.ts","",""
"","1406","accounts api response time under 2 seconds","chromium","2026-06-14","passed","2026-06-14","","Performance-Test\get-account.spec.ts","",""
"","12555","tranfer via ui validate via api","chromium","2026-06-14","passed","2026-06-14","","E2E\transferFunds.spec.ts","",""
"","11807","transfer fund","chromium","2026-06-14","passed","2026-06-14","","UI\transfer-fund.spec.ts","",""
"","13467","create account via ui and validate via api","chromium","2026-06-14","passed","2026-06-14","","E2E\UI-API-validation.spec.ts","",""
"","5736","login page response time under 2 seconds","chromium","2026-06-14","passed","2026-06-14","","Performance-Test\login-response.spec.ts","",""
